,Link,Name,Description,Price,Discounted_Price
0,,,,,
1,https://www.nike.com/in/t/terminator-high-shoes-gNkJFC/FJ4199-100,Nike Terminator High,Men's Shoes,MRP : ₹ 12 795.00,₹ 12 157.00
2,https://www.nike.com/in/t/blazer-phantom-low-shoes-WQbwhN/FN5820-100,Nike Blazer Phantom Low,Men's Shoes,MRP : ₹ 10 295.00,₹ 9 777.00
3,https://www.nike.com/in/t/air-max-1-86-shoes-3VSzbk/FB9647-001,Nike Air Max 1 '86 Premium,Men's Shoes,MRP : ₹ 15 995.00,₹ 15 197.00
4,https://www.nike.com/in/t/attack-shoes-XjFwRL/FB8938-001,Nike Attack,Men's Shoes,MRP : ₹ 10 795.00,₹ 10 257.00
5,https://www.nike.com/in/t/air-jordan-1-high-method-of-make-shoes-wvNP62/FB9891-001,Air Jordan 1 High Method of Make,Women's Shoes,MRP : ₹ 14 195.00,₹ 13 487.00
6,https://www.nike.com/in/t/sb-vertebrae-shoes-Zlnwhs/FD4691-102,Nike SB Vertebrae,Men's Shoes,MRP : ₹ 7 495.00,₹ 7 117.00
7,https://www.nike.com/in/t/air-max-ishod-shoes-pJPHs6/FB2393-103,Nike Air Max Ishod,Men's Shoes,MRP : ₹ 9 695.00,₹ 9 207.00
8,https://www.nike.com/in/t/blazer-mid-77-vintage-shoe-QzbLXN/DV7006-100,Nike Blazer Mid '77 Vintage,Women's Shoes,MRP : ₹ 9 695.00,₹ 9 207.00
9,https://www.nike.com/in/t/sportswear-tech-fleece-mid-rise-joggers-GJwhkZ/FB8331-013,Nike Sportswear Tech Fleece,Women's Mid-Rise Joggers,MRP : ₹ 6 295.00,₹ 5 977.00
10,https://www.nike.com/in/t/air-humara-shoes-gKlrMG/FB9982-200,Nike Air Humara,Women's Shoes,MRP : ₹ 14 995.00,₹ 14 247.00
11,https://www.nike.com/in/t/air-jordan-5-retro-lucky-green-shoes-Zts2wQ/DD9336-103,Air Jordan 5 Retro 'Lucky Green',Women's Shoes,MRP : ₹ 18 395.00,₹ 17 477.00
12,https://www.nike.com/in/t/dunk-low-retro-shoes-bCzchX/DV0833-105,Nike Dunk Low Retro,Men's Shoes,MRP : ₹ 8 695.00,₹ 8 257.00
13,https://www.nike.com/in/t/dunk-low-shoes-J0nf5G/HF4299-001,Nike Dunk Low,Men's Shoes,MRP : ₹ 11 895.00,₹ 11 297.00
14,https://www.nike.com/in/t/flyby-mid-3-basketball-shoes-jFHsxb/DD9311-003,Nike Fly.By Mid 3,Basketball Shoes,MRP : ₹ 4 995.00,₹ 4 747.00
15,https://www.nike.com/in/t/air-jordan-1-low-se-craft-older-shoes-hfhvfK/FN7431-100,Air Jordan 1 Low SE Craft,Older Kids' Shoes,MRP : ₹ 8 695.00,₹ 8 257.00
16,https://www.nike.com/in/t/dunk-low-shoes-g54Fbv/FQ6965-700,Nike Dunk Low,Men's Shoes,MRP : ₹ 11 895.00,₹ 11 297.00
17,https://www.nike.com/in/t/air-max-1-86-shoes-pPpnZV/DO9844-101,Nike Air Max 1 '86 Premium,Shoes,MRP : ₹ 13 995.00,₹ 13 297.00
18,https://www.nike.com/in/t/kawa-younger-older-slide-GLCZVf/DD8519-001,Nike Kawa,Younger and Older Kids' Slide,MRP : ₹ 1 595.00,₹ 1 517.00
19,https://www.nike.com/in/t/blazer-mid-77-shoes-xfpQWg/FZ1157-100,Nike Blazer Mid '77,Baby/Toddler Shoes,MRP : ₹ 5 095.00,₹ 4 837.00
